Year,Country,t_wins,t_losses,t_other,t_sixes,t_fours,t_other_runs,t_bowler_wicket,t_fielder_wicket,t_keeper_wicket,t_sixes_given,t_fours_given,t_other_runs_given,t_bowler_wicket_given,t_fielder_wicket_given,t_keeper_wicket_given,t2_wins,t2_losses,t2_other,t2_sixes,t2_fours,t2_other_runs,t2_bowler_wicket,t2_fielder_wicket,t2_keeper_wicket,t2_sixes_given,t2_fours_given,t2_other_runs_given,t2_bowler_wicket_given,t2_fielder_wicket_given,t2_keeper_wicket_given,o_wins,o_losses,o_other,o_sixes,o_fours,o_other_runs,o_bowler_wicket,o_fielder_wicket,o_keeper_wicket,o_sixes_given,o_fours_given,o_other_runs_given,o_bowler_wicket_given,o_fielder_wicket_given,o_keeper_wicket_given,Win-Rate
2009,Pakistan,1,4,4,5.444444444444445,52.888888888888886,278.8888888888889,5.0,9.11111111111111,0.3333333333333333,2.4444444444444446,64.22222222222223,297.55555555555554,5.444444444444445,9.777777777777779,0.2222222222222222,9,2,0,3.5454545454545454,12.090909090909092,74.45454545454545,2.8181818181818183,4.0,0.8181818181818182,2.090909090909091,10.090909090909092,75.54545454545455,0.7272727272727273,4.181818181818182,0.09090909090909091,8,12,0,1.8,20.4,123.2,2.45,4.35,0.25,2.0,18.3,131.7,2.25,5.55,0.0,0.4
2009,Bangladesh,2,1,0,3.0,51.333333333333336,242.66666666666666,9.0,8.333333333333334,0.3333333333333333,5.333333333333333,58.0,324.3333333333333,5.333333333333333,12.0,0.6666666666666666,0,3,0,4.0,9.0,76.66666666666667,1.6666666666666667,2.6666666666666665,0.0,5.666666666666667,11.666666666666666,65.0,1.6666666666666667,6.0,0.6666666666666666,13,3,0,3.4375,17.5625,121.375,3.625,4.4375,0.3125,3.5625,16.25,124.75,1.3125,4.875,0.3125,0.2
2009,Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.0,29.0,143.0,6.0,4.0,0.0,0.0,28.0,94.0,2.0,5.0,0.0,0.0
2009,Zimbabwe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,0,3.6,16.6,120.0,1.4666666666666666,4.533333333333333,0.4,4.0,19.266666666666666,121.2,3.533333333333333,4.2,0.26666666666666666,0.2
2010,West Indies,0,2,4,5.166666666666667,40.0,220.83333333333334,3.3333333333333335,6.333333333333333,0.16666666666666666,5.333333333333333,41.5,267.6666666666667,5.833333333333333,6.666666666666667,0.5,3,7,0,2.9,8.6,69.2,1.6,4.5,0.2,5.6,9.0,70.4,1.4,5.2,0.4,4,10,1,4.2,14.066666666666666,119.46666666666667,2.3333333333333335,4.733333333333333,0.0,2.933333333333333,15.4,156.06666666666666,2.066666666666667,5.2,0.4,0.4
2010,Australia,6,5,1,4.0,67.16666666666667,288.0,4.916666666666667,11.083333333333334,0.16666666666666666,2.9166666666666665,64.66666666666667,267.75,5.916666666666667,10.666666666666666,0.3333333333333333,10,4,1,6.533333333333333,11.933333333333334,69.86666666666666,1.8,5.666666666666667,0.26666666666666666,4.4,11.933333333333334,68.93333333333334,1.6666666666666667,4.066666666666666,0.7333333333333333,16,8,1,3.2,19.52,149.88,2.76,5.32,0.08,3.0,18.24,120.16,1.76,4.52,0.2,0.4
2010,Sri Lanka,1,1,4,3.0,55.833333333333336,282.3333333333333,5.0,6.333333333333333,0.8333333333333334,3.8333333333333335,56.0,278.5,3.1666666666666665,6.333333333333333,0.0,5,4,0,4.0,10.555555555555555,66.44444444444444,2.3333333333333335,3.3333333333333335,0.2222222222222222,2.7777777777777777,9.333333333333334,68.55555555555556,1.1111111111111112,4.444444444444445,0.3333333333333333,15,6,1,1.5909090909090908,21.636363636363637,123.0909090909091,2.272727272727273,4.681818181818182,0.22727272727272727,2.0,16.045454545454547,126.68181818181819,1.2727272727272727,4.136363636363637,0.2727272727272727,0.8
2010,India,8,3,3,4.142857142857143,70.28571428571429,309.85714285714283,5.642857142857143,9.0,0.5,4.285714285714286,63.0,311.2142857142857,4.428571428571429,9.785714285714286,0.2857142857142857,4,3,0,6.0,10.285714285714286,67.28571428571429,1.5714285714285714,4.428571428571429,0.14285714285714285,7.428571428571429,9.0,70.57142857142857,0.42857142857142855,4.857142857142857,0.14285714285714285,17,10,0,3.0,22.0,133.1851851851852,2.259259259259259,4.7407407407407405,0.2222222222222222,3.2962962962962963,21.77777777777778,131.33333333333334,1.5555555555555556,4.518518518518518,0.14814814814814814,0.4
2010,New Zealand,1,3,2,6.833333333333333,60.666666666666664,314.3333333333333,4.333333333333333,8.333333333333334,0.16666666666666666,7.333333333333333,80.5,276.6666666666667,6.666666666666667,9.833333333333334,0.3333333333333333,7,5,1,4.461538461538462,9.615384615384615,61.38461538461539,2.0,4.615384615384615,0.23076923076923078,4.538461538461538,11.0,62.38461538461539,2.4615384615384617,3.8461538461538463,0.07692307692307693,6,14,1,4.285714285714286,17.571428571428573,119.85714285714286,1.4285714285714286,5.0476190476190474,0.047619047619047616,2.4761904761904763,21.857142857142858,113.0952380952381,2.857142857142857,5.333333333333333,0.14285714285714285,1.0
2010,South Africa,5,2,4,5.2727272727272725,56.63636363636363,331.54545454545456,5.090909090909091,11.181818181818182,0.0,3.8181818181818183,59.18181818181818,254.1818181818182,4.2727272727272725,8.0,0.09090909090909091,8,3,0,5.545454545454546,9.727272727272727,74.27272727272727,1.5454545454545454,5.818181818181818,0.18181818181818182,5.2727272727272725,10.909090909090908,67.81818181818181,1.1818181818181819,4.181818181818182,0.36363636363636365,12,4,0,3.9375,22.1875,175.625,1.8125,6.625,0.125,4.875,18.875,152.6875,2.375,3.5,0.125,0.4
